"driver_name","team","grid","positionOrder","laps","status"
"Damon Hill","Jordan","3",1,44,"Finished"
"Ralf Schumacher","Jordan","8",2,44,"Finished"
"Jean Alesi","Sauber","10",3,44,"Finished"
"Heinz-Harald Frentzen","Williams","9",4,44,"Finished"
"Pedro Diniz","Arrows","16",5,44,"Finished"
"Jarno Trulli","Prost","13",6,42,"+2 Laps"
"David Coulthard","McLaren","2",7,39,"+5 Laps"
"Shinji Nakano","Minardi","21",8,39,"+5 Laps"
"Giancarlo Fisichella","Benetton","7",9,26,"Collision"
"Michael Schumacher","Ferrari","4",10,25,"Collision"
"Eddie Irvine","Ferrari","5",11,25,"Spun off"
"Esteban Tuero","Minardi","22",12,17,"Gearbox"
"Jacques Villeneuve","Williams","6",13,16,"Spun off"
"Toranosuke Takagi","Tyrrell","19",14,10,"Spun off"
"Jos Verstappen","Stewart","17",15,8,"Engine"
"Mika Häkkinen","McLaren","1",16,0,"Collision"
"Alexander Wurz","Benetton","11",17,0,"Collision"
"Johnny Herbert","Sauber","12",18,0,"Collision"
"Rubens Barrichello","Stewart","15",19,0,"Collision"
"Olivier Panis","Prost","14",20,0,"Collision"
"Mika Salo","Arrows","18",21,0,"Collision"
"Ricardo Rosset","Tyrrell","20",22,0,"Collision"
